,content,id,lat,location,lon,time,user,user_id
1191,RT @bukowskiboston: This seems like an appropriate beer to drink right about now 🍻🌨️ Hide out from the snow in here with @cptlawrencebeer P…,971791926696579072,,Boston,,2018-03-08 16:57:05,Carlton_Conley,3342652330
1192,Rearranged my day and had an early start...only to end up with a snow day! Still grateful… https://t.co/uisJo9XCJe,971791891929935872,-71.1527757,Other,42.350609,2018-03-08 16:56:56,iamvladimyr,260786877
1193,Just as a quick reminder! We aren’t releasing an episode this week but we ARE complaining a lot about all the snow… https://t.co/VhSyuL0bsH,971791842525278208,,Boston,,2018-03-08 16:56:44,HTL_podcast,880564097514967040
1194,"Celebrate your SNOW DAY with a little 🔥🍕!
We’re at Dewey Square on the @HelloGreenway till 2pm! https://t.co/tlFxdW9vsp",971791840260304896,,Somerville,,2018-03-08 16:56:44,PostoMobile,2744952448
1195,Happy Snow Day!❄️❄️❄️ Happy snow day!  Newton Centre is currently closed but may open in a few hours we will keep y… https://t.co/LerhAgwhND,971791759331201024,,Other Mass.,,2018-03-08 16:56:25,jplicks,387462652
1196,"@ScamwellTarley Hi! Within 24 hours of the end of snowfall, MBTA crews clear snow and ice from stops along 15 key b… https://t.co/mGPntP9NTU",971791732974194688,,Boston,,2018-03-08 16:56:18,MBTA,150334831
1198,"Teachers: Happy Snow Day!! To celebrate, we are giving you guys a FREE Dorchester Brewing branded glass just for co… https://t.co/C2VgsCXm6f",971791650279362560,,Other Mass.,,2018-03-08 16:55:59,DorchesterBrew,2724821436
1200,@BostonTweet Snow = The devil’s precipitation.,971791435358982144,,Boston,,2018-03-08 16:55:07,asher_norris,606399822
1201,Ice and snow in Boston. I miss it too much. https://t.co/JKhkxHnQse,971791390349828096,,Boston,,2018-03-08 16:54:57,TanvirSalim1,396295601
1203,"Oh, Harvard, you glorious, snow covered minx. https://t.co/OuTPqgzGo5",971791336448851968,,Boston,,2018-03-08 16:54:44,heliumcell,25155161
1204,"current weather in Watertown: snow, 35°F
86% humidity, wind 9mph, pressure 1001mb",971791151047962624,-71.19,Other Mass.,42.37,2018-03-08 16:54:00,WatertownMA,251496134
1205,Due to the snow we have had to move the Arn Chorn Pond event! Please join us tonight at 4:30PM in Somerset 319 https://t.co/VkYc61MKkp,971791123642572800,,Boston,,2018-03-08 16:53:53,SuffolkCCE,151623904
1206,"While shoveling, a heavy chunk of snow fell off a tree and hit me in the middle of my back.

Anyways, how's your day going?",971791122262523904,,Boston,,2018-03-08 16:53:53,ImprintedRose,3434038161
1207,"Heavy Snow Brings Down Wires, Shutting Down I-95 In New Hampshire https://t.co/CPgSeSUrJs https://t.co/bHhyrueT5Y",971791024598249472,,Boston,,2018-03-08 16:53:29,boston_informer,297957512
1208,"current weather in Boston: snow, 35°F
86% humidity, wind 9mph, pressure 1001mb",971790956658704384,-71.06,Boston,42.36,2018-03-08 16:53:13,_BostonMA,108076943
1209,"Burst pipe inside Massachusetts State House as snow keeps coming down outside 
#mapoli https://t.co/kSdjiDU7c1",971790833082077184,,Boston,,2018-03-08 16:52:44,gintautasd,44688574
121,Snow ❄️ ⛄️day #BostonCommon #BeaconHills #AcornStreet #HistoricNeighborhood https://t.co/6qhHybfOjZ,971896396012978176,,Other,,2018-03-08 23:52:12,sandradido,2869438800
1210,"Snow, snow, lots of Snow! #snow #boston #notinvegasanymore… https://t.co/GDLo82twZN",971790833061154816,-71.0617,USA,42.3578,2018-03-08 16:52:44,CarisaMarinucci,930363612
1211,"Last snow of the winter!

* fingers crossed *",971790718585864192,,Boston,,2018-03-08 16:52:16,SuperStartUpTV,1578262742
1212,These photos show the beauty and power of the most recent nor’easter https://t.co/kpDoacIuSp,971790705571041280,,Boston,,2018-03-08 16:52:13,siggiboston,28650408
